Accession Number	Prosite Hits	Prosite Confidence	Prosite Codes	Pfam Hits	Pfam Codes	Pfam Clan Names	Pfam Clan Numbers	Pfam E-vals	Blast Hits	Blast E-vals	Prints Hits	Print Codes	Function	Comments	GO Codes
ABO10810	UbiE family SAM-binding methyltransferase profile	3	PS51608	ubiE/COQ5 methyltransferase family	PF01209.17	FAD/NAD(P)-binding Rossmann fold Superfamily	CL0063	5.7e-100	S-adenosylmethionine : 2-DMK methyltransferase and 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase [Acinetobacter baumannii,S-adenosylmethionine: 2-DMK methyltransferase and 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase [Acinetobacter seifertii],ubiquinone biosynthesis methyltransferase [Acinetobacter guillouiae],S-adenosylmethionine : 2-DMK methyltransferase and 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase [Acinetobacter sp. ADP1],2-octaprenyl-6-methoxy-1,4-benzoquinone methylase [Moraxella macacae 0408225],SAM-dependent methyltransferase [Moraxella osloensis],SAM-dependent methyltransferase [Psychrobacter glacincola],2-octaprenyl-6-methoxy-1,4-benzoquinone methylase [Psychrobacter arcticus 273-4],ubiquinone biosynthesis methyltransferase UbiE [Moraxella bovoculi],SAM-dependent methyltransferase [Psychrobacter urativorans]	0.0,0.0,0.0,0.0,6e-157,5e-155,8e-155,4e-154,4e-154,1e-153	RNA (C5-cytosine) methyltransferase signature,N12 class N6 adenine-specific DNA methyltransferase signature,RNA (C5-cytosine) methyltransferase NCL1 subfamily signature,Nuclear translocator signature,Inositol monophosphatase superfamily signature,NUDIX hydrolase family signature	RCMTFAMILY,N12N6MTFRASE,RCMTNCL1,NCTRNSLOCATR,IMPHPHTASES,NUDIXFAMILY	methyltransferase	methyltransferase used in forming menquinone and ubiquinone (blast/pfam/prosite/prints)	GO:0016740
ABO10816	SecA family profile,UvrD-like DNA helicase ATP-binding domain profile	2	PS51196,PS51198	UvrD/REP helicase N-terminal domain	PF00580.20	P-loop containing nucleoside triphosphate hydrolase superfamily	CL0023	1.4e-11	exonuclease V beta chain [Acinetobacter baumannii ATCC 17978],exonuclease V subunit beta, partial [Acinetobacter baumannii],exonuclease V subunit beta, partial [Acinetobacter baumannii],exonuclease V subunit beta, partial [Acinetobacter baumannii],Exodeoxyribonuclease V beta chain, partial [Acinetobacter baumannii ABNIH10],exonuclease V subunit beta, partial [Acinetobacter baumannii],exonuclease V subunit beta, partial [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii],putative exodeoxyribonuclease V, beta subunit [Acinetobacter baumannii WC-692]	7e-90,3e-74,2e-72,3e-72,4e-71,9e-69,4e-68,9e-68,1e-67,1e-67	Fumarate lyase superfamily signature,Prokaryotic DNA topoisomerase I signature,DnaJ domain signature	FUMRATELYASE,PRTPISMRASEI,JDOMAIN	helicase	uses lyase and nucleotide triphosphate hydrolase to unwind DNA. (pfam/blast/prosite/prints)	GO:0033202
ABO10817	UvrD-like DNA helicase ATP-binding domain profile,UvrD-like DNA helicase C-terminal domain profile	3	PS51198,PS51217	UvrD/REP helicase N-terminal domain,UvrD-like helicase C-terminal domain,PD-	PF00580.20,PF13361.5,PF12705.6	P-loop containing nucleoside triphosphate hydrolase superfamily,P-loop containing nucleoside triphosphate hydrolase superfamily,PD-(D/E)XK nuclease superfamily	CL0023,CL0023,CL0236	1.4e-22,3.5e-26,3.5e-06	exonuclease V subunit beta [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii],exonuclease V subunit beta [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Ankyrin repeat signature,Inositol monophosphatase superfamily signature	ANKYRIN,IMPHPHTASES	helicase	helicase uses lyase and triphosphate hydrolase to unwind (pfam/blast/prosite/prints)	GO:0033202
ABO10814	F-box domain profile,EF-hand calcium-binding domain profile	2	PS50181,PS50222	Exodeoxyribonuclease V	PF04257.13	P-loop containing nucleoside triphosphate hydrolase superfamily	CL0023	7.5e-176	exonuclease V gamma chain [Acinetobacter baumannii ATCC 17978],exonuclease V subunit gamma [Acinetobacter baumannii],exonuclease V subunit gamma [Acinetobacter baumannii],exonuclease V subunit gamma [Acinetobacter baumannii],exonuclease V subunit gamma [Acinetobacter baumannii],exonuclease V subunit gamma [Acinetobacter baumannii],exonuclease V subunit gamma [Acinetobacter baumannii],exonuclease V subunit gamma [Acinetobacter baumannii],exonuclease V subunit gamma [Acinetobacter baumannii],exonuclease V subunit gamma [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Potassium channel signature,Voltage-gated potassium channel family signature,Ribonucleotide reductase large chain signature ,Shaw voltage-gated K+ channel family signature	KCHANNEL,KVCHANNEL,RIBORDTASEM1,SHAWCHANNEL	exonuclease	ribonuclease (pfam/blast)	GO:0016829
ABO10815	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00007,PS00008	noresult	noresult	noresult	noresult	noresult	exonuclease V gamma chain [Acinetobacter baumannii ATCC 17978],putative exonuclease V, gamma chain [Acinetobacter baumannii 25253_5],exonuclease V, gamma chain domain protein [Acinetobacter baumannii 44362_2],exodeoxyribonuclease V, gamma subunit [Acinetobacter baumannii 1593273],exonuclease V subunit gamma, partial [Acinetobacter baumannii],Exonuclease V gamma subunit [Acinetobacter baumannii],exodeoxyribonuclease V, gamma subunit [Acinetobacter baumannii 929679-2095],exodeoxyribonuclease V, gamma subunit [Acinetobacter baumannii 42057_6],exonuclease V subunit gamma, partial [Acinetobacter baumannii],exodeoxyribonuclease V, gamma subunit [Acinetobacter baumannii 25935_9]	1e-138,2e-138,1e-137,7e-134,2e-131,4e-131,7e-131,1e-130,5e-129,9e-128	noresult	noresult	exonuclease	gamma chain exonuclease(blast)	GO:0016829
ABO11947	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00007,PS00008	Transketolase	PF00456.20	Thiamin diphosphate-binding superfamily	CL0254	7.6e-131	transketolase [Acinetobacter baumannii ATCC 17978],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	MHC class I signature,Ankyrin repeat signature,Glycosyl hydrolase family 15 signature,3Fe-4S ferredoxin signature	MHCCLASSI,ANKYRIN,GLHYDRLASE15,3FE4SFRDOXIN	transketolase	thiamin diphosphate found in branched alpha keto acids (pfam), transketolase acts here (blast/prints)	GO:0016740
ABO13007	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site	1	PS00005,PS00006	Thioesterase superfamily	PF03061.21	HotDog superfamily	CL0050	2.6e-15	thioesterase, partial [Acinetobacter baumannii],putative Acyl-CoA thioester hydrolase [Acinetobacter baumannii SDF],putative Acyl-CoA thioester hydrolase [Acinetobacter baumannii AYE],MULTISPECIES: tol-pal system-associated acyl-CoA thioesterase [Acinetobacter],tol-pal system-associated acyl-CoA thioesterase [Acinetobacter baumannii],tol-pal system-associated acyl-CoA thioesterase [Acinetobacter baumannii],tol-pal system-associated acyl-CoA thioesterase [Acinetobacter baumannii],tol-pal system-associated acyl-CoA thioesterase [Acinetobacter baumannii],tol-pal system-associated acyl-CoA thioesterase [Acinetobacter baumannii],tol-pal system-associated acyl-CoA thioesterase [Acinetobacter sp. WC-141]	2e-96,2e-96,2e-96,2e-96,3e-96,3e-96,2e-95,2e-95,4e-95,1e-93	FAD-dependent pyridine nucleotide reductase signature	FADPNR	thioesterase	thioesterase (blast/prints/pfam) have acylCoA hydrolase	GO:0016829
ABO11943	Gcn5-related N-acetyltransferase (GNAT) domain profile	3	PS51186	Acetyltransferase 	PF00583.24	N-acetyltransferase like	CL0257	7e-10	putative antibiotic resistance [Acinetobacter baumannii ATCC 17978],putative antibiotic resistance protein, partial [Acinetobacter baumannii ATCC 17978],GNAT family N-acetyltransferase [Acinetobacter baumannii],N-acetyltransferase [Acinetobacter baumannii],N-acetyltransferase [Acinetobacter baumannii],N-acetyltransferase [Acinetobacter baumannii],N-acetyltransferase [Acinetobacter baumannii],GNAT family N-acetyltransferase, partial [Acinetobacter baumannii],sortase [Acinetobacter nosocomialis],N-acetyltransferase [Acinetobacter baumannii]	1e-60,2e-52,4e-52,4e-52,4e-52,4e-52,5e-52,5e-52,5e-52,5e-52	noresult	noresult	acetyltransferase	acetyltransferase (pfam/blast) important in chloramphenicol resistance	GO:0016740
ABO11942	noresult	3	noresult	Helix-turn-helix	PF01381.21	Helix-turn-helix clan	CL0123	3.9e-14	MULTISPECIES: XRE family transcriptional regulator [Acinetobacter calcoaceticus/baumannii complex],XRE family transcriptional regulator [Acinetobacter baumannii],XRE family transcriptional regulator [Acinetobacter baumannii],MULTISPECIES: XRE family transcriptional regulator [Acinetobacter calcoaceticus/baumannii complex],XRE family transcriptional regulator [Acinetobacter baumannii],transcriptional regulator [Acinetobacter baumannii],XRE family transcriptional regulator [Acinetobacter baumannii],XRE family transcriptional regulator [Acinetobacter baumannii],XRE family transcriptional regulator [Acinetobacter baumannii],DNA-binding protein [Acinetobacter baumannii]	1e-141,1e-141,1e-141,2e-141,2e-141,3e-141,4e-141,4e-141,5e-141,6e-141	DnaJ domain signature,Prokaryotic DNA topoisomerase I signature	JDOMAIN,PRTPISMRASEI	transciptional regulator	transciptional regulator (blast) helix turned helix (pfam) show DNA structure where regulators act	GO:0006351
ABO12275	N-glycosylation site,Protein kinase C phosphorylation site	1	PS00001,PS00005	Thiolase	PF00108.22	Thiolase-like Superfamily	CL0046	1.3e-09	Beta-ketoadipyl CoA thiolase [Acinetobacter baumannii ATCC 17978],beta-ketoadipyl CoA thiolase, partial [Acinetobacter baumannii],beta-ketoadipyl CoA thiolase, partial [Acinetobacter baumannii],hypothetical protein, partial [Acinetobacter baumannii],hypothetical protein, partial [Acinetobacter baumannii],3-oxoadipyl-CoA thiolase, partial [Acinetobacter baumannii],beta-ketoadipyl CoA thiolase, partial [Acinetobacter baumannii],thiolase, N-terminal domain protein, partial [Acinetobacter baumannii 1462234],acetyl-CoA acetyltransferase, partial [Acinetobacter baumannii],thiolase, N-terminal domain protein, partial [Acinetobacter baumannii 99063]	1e-39,3e-36,3e-36,3e-36,3e-36,3e-36,3e-36,4e-36,4e-36,4e-36	noresult	noresult	thiolase	thiolase (pfam / blast)	GO:0016829
ABO11599	FtsK domain profile	2	PS50901	noresult	noresult	noresult	noresult	noresult	hypothetical protein A1S_1169 [Acinetobacter baumannii ATCC 17978],hypothetical protein [Acinetobacter baumannii],phage tail domain protein [Acinetobacter baumannii Naval-82],hypothetical protein [Acinetobacter baumannii],hypothetical protein, partial [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	4e-63,3e-61,2e-52,8e-52,3e-49,9e-49,9e-49,9e-49,9e-49,9e-49	noresult	noresult	phage tail domain	phage tail protein (blast). Can be used for motor function	GO:0009288
ABO10820	Ribosomal protein S15 signature	3	PS00362	Ribosomal protein S15	PF00312.21	S15/NS1 RNA-binding domain superfamily	CL0600	2.2e-36	MULTISPECIES: 30S ribosomal protein S15 [Acinetobacter],30S ribosomal protein S15 [Acinetobacter baumannii],MULTISPECIES: 30S ribosomal protein S15 [Acinetobacter],MULTISPECIES: 30S ribosomal protein S15 [Acinetobacter],MULTISPECIES: 30S ribosomal protein S15 [Acinetobacter],MULTISPECIES: 30S ribosomal protein S15 [Acinetobacter],MULTISPECIES: 30S ribosomal protein S15 [Acinetobacter],MULTISPECIES: 30S ribosomal protein S15 [Acinetobacter],MULTISPECIES: 30S ribosomal protein S15 [Acinetobacter],30S ribosomal protein S15 [Acinetobacter beijerinckii]	5e-58,2e-57,7e-57,3e-56,1e-55,2e-55,3e-55,6e-55,6e-55,6e-55	G protein beta WD-40 repeat signature	GPROTEINBRPT	ribosomal protein	ribosomal protein involved in transcription (blast/pfam )	GO:0003735
ABO10513	N-glycosylation site,cAMP- and cGMP-dependent protein kinase phosphorylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site	1	PS00001,PS00004,PS00005,PS00006,PS00007,PS00008	Phage integrase,Phage integrase family	PF02899.16,PF00589.21	lambda integrase N-terminal domain,DNA breaking-rejoining enzyme superfamily	CL0469,CL0382	7.1e-11,1.1e-40	tyrosine recombinase [Acinetobacter baumannii],recombinase [Acinetobacter baumannii],recombinase, partial [Acinetobacter baumannii],recombinase [Acinetobacter baumannii],recombinase, partial [Acinetobacter baumannii],site-specific tyrosine recombinase [Acinetobacter baumannii ABNIH11],recombinase, partial [Acinetobacter baumannii],recombinase, partial [Acinetobacter baumannii],site-specific tyrosine recombinase, partial [Acinetobacter baumannii],recombinase, partial [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,1e-168,3e-159,6e-146,3e-145	Ankyrin repeat signature	ANKYRIN	integrase	integrase/recombinas (blast/pfam), involved in DNA recombination	GO:0016874
ABO10515	FKBP-type peptidyl-prolyl cis-trans isomerase domain profile	3	PS50059	FKBP-type peptidyl-prolyl cis-trans isomerase	PF00254.27	FKBP-like superfamily	CL0487	4.1e-18	FKBP-type peptidyl-prolyl cis-trans isomerase [Acinetobacter baumannii ATCC 17978],peptidylprolyl isomerase [Acinetobacter baumannii],peptidylprolyl isomerase [Acinetobacter baumannii],peptidyl-prolyl cis-trans isomerase, FKBP-type [Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841],FKBP-type peptidyl-prolyl cis-trans isomerase [Acinetobacter baumannii ZW85-1],peptidylprolyl isomerase [Acinetobacter nosocomialis M2],peptidylprolyl isomerase [Acinetobacter baumannii],peptidylprolyl isomerase [Acinetobacter baumannii],peptidylprolyl isomerase [Acinetobacter baumannii],peptidylprolyl isomerase [Acinetobacter baumannii]	4e-119,3e-116,5e-115,3e-114,1e-113,2e-113,5e-113,8e-112,4e-111,4e-111	Macrophage infectivity potentiator signature,FAD-dependent pyridine nucleotide reductase signature,Aspartate aminotransferase signature,DnaJ domain signature,Bacterial sensor protein C-terminal signature	INFPOTNTIATR,FADPNR,TRANSAMINASE,JDOMAIN,BCTRLSENSOR	isomerase	isomerase (blast) FPKB (pfam/prints) prevents unwanted aggregation in protein folding	GO:0016853
ABO10514	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00008	NADPH-dependent FMN reductase	PF03358.14	Flavoprotein	CL0042	1.7e-31	NADPH-dependent oxidoreductase [Acinetobacter baumannii],NADPH-dependent oxidoreductase [Acinetobacter baumannii],NADPH-dependent oxidoreductase [Acinetobacter baumannii],NADPH-dependent oxidoreductase [Acinetobacter baumannii],NADPH-dependent oxidoreductase [Acinetobacter baumannii],NADPH-dependent oxidoreductase [Acinetobacter baumannii],NADPH-dependent oxidoreductase [Acinetobacter baumannii],NADPH-dependent oxidoreductase [Acinetobacter baumannii],NADPH-dependent oxidoreductase [Acinetobacter baumannii],NADPH-dependent oxidoreductase [Acinetobacter baumannii]	2e-129,2e-129,2e-129,3e-129,3e-129,3e-129,4e-129,4e-129,5e-129,5e-129	FAD-dependent pyridine nucleotide reductase signature,DnaJ domain signature,H+-transporting ATPase (proton pump) signature,P-type cation-transporting ATPase superfamily signature	FADPNR,JDOMAIN,HATPASE,CATATPASE,BCTRLSENSOR	reductase	nucleotide reductase uses nucleotide cofactors (blast/pfam/prosite/prints)	GO:0016491
ABO12986	N-myristoylation site	1	PS00008	noresult	noresult	noresult	noresult	noresult	hypothetical protein A1S_2569 [Acinetobacter baumannii ATCC 17978],hypothetical protein F965_00375 [Acinetobacter schindleri NIPH 900],transposase [Acinetobacter brisouii],hypothetical protein F924_00136 [Acinetobacter lwoffii ATCC 9957 = CIP 70.31],Transposase [uncultured bacterium],transposase DDE domain protein [Acinetobacter baumannii 99063],IS5 family transposase [Acinetobacter tandoii],hypothetical protein F958_03861 [Acinetobacter nosocomialis NIPH 386],IS5 family transposase, partial [Neisseria meningitidis],putative transposase [Neisseria meningitidis]	1e-35,1e-33,4e-33,1e-32,1e-32,2e-32,2e-32,6e-31,6e-25,6e-25	FAD-dependent pyridine nucleotide reductase signature	FADPNR	nucleotide reductase	Nucleotide cofactors (pfam/prints) used by reductase	GO:0016491
ABO12982	Annexins repeated domain signature	3	PS00223	Major Facilitator Superfamily	PF07690.15	Major Facilitator Superfamily	CL0015	5.1e-20	MFS transporter [Acinetobacter baumannii],MULTISPECIES: MFS transporter [Acinetobacter],major Facilitator Superfamily protein [Acinetobacter baumannii CI86],MFS transporter [Acinetobacter baumannii],MULTISPECIES: MFS transporter [Acinetobacter],major Facilitator Superfamily protein [Acinetobacter baumannii 397971],MFS transporter [Acinetobacter rudis],MFS transporter [Acinetobacter soli],MULTISPECIES: MFS transporter [Acinetobacter],MFS transporter [Acinetobacter nectaris]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	noresult	noresult	major facilitator	facilitator/transporter, usually in membrane (blast/prints/pfam)	GO:0005215
ABO13320	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00008	SecD/SecF GG Motif	PF07549.13	noresult	noresult	1.6e-10	preprotein translocase IISP family, membrane subunit [Acinetobacter baumannii ATCC 17978],protein translocase subunit SecF, partial [Acinetobacter baumannii],protein-export membrane protein SecF [Acinetobacter baumannii 1406750],protein translocase subunit SecF [Acinetobacter baumannii],protein-export membrane protein SecF [Acinetobacter baumannii],protein translocase subunit SecF [Acinetobacter baumannii],export membrane protein SecF [Acinetobacter baumannii OIFC0162],protein translocase subunit SecF [Acinetobacter baumannii],protein translocase subunit SecF [Acinetobacter baumannii],protein-export membrane protein SecF [Acinetobacter baumannii 4749]	2e-79,1e-77,2e-77,2e-77,2e-77,2e-77,2e-77,2e-77,2e-77,2e-77	Bacterial translocase SecF protein signature,Rhodopsin-like GPCR superfamily signature,Ankyrin repeat signature,Enolase signature,Cadherin signature	SECFTRNLCASE,GPCRRHODOPSN,ANKYRIN,ENOLASE,CADHERIN	translocase	embedded in cytpolasmic membrane and facilitate transport secD(pfam) translocase(blast/prints)	GO:0005215
ABO12980	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00008	Siderophore-interacting protein	PF04954.12	Ferredoxin / Ferric reductase-like NAD binding	CL0091	2.3e-17	putative siderophore-interacting protein [Acinetobacter baumannii ATCC 17978],MULTISPECIES: NADPH-dependent ferric siderophore reductase [Acinetobacter],NADPH-dependent ferric siderophore reductase [Acinetobacter baumannii],NADPH-dependent ferric siderophore reductase [Acinetobacter baumannii],MULTISPECIES: NADPH-dependent ferric siderophore reductase [Acinetobacter],phage tail protein [Acinetobacter soli],NADPH-dependent ferric siderophore reductase [Acinetobacter rudis],hypothetical protein F952_02489 [Acinetobacter baylyi DSM 14961 = CIP 107474],MULTISPECIES: siderophore-interacting protein [Acinetobacter],siderophore-interacting protein [Acinetobacter nectaris]	1e-148,3e-147,5e-147,1e-146,2e-146,8e-129,7e-117,1e-100,2e-100,7e-90	Prokaryotic DNA topoisomerase I signature,Bacterial chemotaxis sensory transducer signature	PRTPISMRASEI,CHEMTRNSDUCR	siderophore reductase	siderophore (pfam/blast) used to acquire iron (pfam clan)	GO:0016491
ABO12288	noresult	3	noresult	Rieske 	PF00355.25	Rieske-like iron-sulphur domain	CL0516	1.2e-11	benzoate dioxygenase large subunit [Acinetobacter baumannii ATCC 17978],benzoate dioxygenase large subunit [Acinetobacter baumannii ABNIH25],benzoate dioxygenase large subunit [Acinetobacter baumannii ABNIH1],putative aromatic-ring-hydroxylating dioxygenase large subunit [Acinetobacter baumannii AYE],rieske [2Fe-2S] domain protein [Acinetobacter baumannii 6014059],rieske domain protein, partial [Acinetobacter baumannii 21072],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],rieske [2Fe-2S] domain protein [Acinetobacter baumannii ATCC 	2e-93,2e-90,3e-89,2e-69,2e-69,3e-69,4e-69,4e-69,5e-69,7e-69	Ring hydroxylating dioxygenase alpha-subunit signature,FAD-dependent pyridine nucleotide reductase signature,Argininosuccinate lyase family signature,Fumarate lyase superfamily signature	RNGDIOXGNASE,FADPNR,ARGSUCLYASE,FUMRATELYASE	hydroxylating dioxygenase	hydorxylating deoxygenase(alpha subunit) [blast] rieske iron sulphur domain (pfam)	GO:0016491
ABO10882	Aspartate-semialdehyde dehydrogenase signature	3	PS01103	Semialdehyde dehydrogenase,Semialdehyde dehydrogenase	PF01118.23,PF02774.17	FAD/NAD(P)-binding Rossmann fold Superfamily,Amino acid biosynthesis and glycosomal dehydrogenase	CL0063,CL0139	1.7e-23,5.4e-56	MULTISPECIES: aspartate-semialdehyde dehydrogenase [Acinetobacter calcoaceticus/baumannii complex],aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii MDR-ZJ06],aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii],aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii],aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii],aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii],aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii],aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii],aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii],aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Enolase signature,Cytosine-specific DNA methyltransferase signature	ENOLASE,C5METTRFRASE	aldehyde dehydrogenase	aldehyde dehydrogenase (involved in activating/deactivating transcription) (blast/pfam)	GO:0016491
ABO12666	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00007,PS00008	noresult	noresult	noresult	noresult	noresult	hypothetical protein A1S_2243 [Acinetobacter baumannii ATCC 17978],hypothetical protein F962_01330 [Acinetobacter baumannii NIPH 190],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein B9X91_08935, partial [Acinetobacter baumannii],Uncharacterised protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein, partial [Acinetobacter baumannii]	2e-114,4e-112,1e-111,2e-111,3e-111,6e-111,9e-111,2e-110,2e-110,2e-110	HtrA/DegQ protease family signature	PROTEASES2C	protease	protease (blast) that acts at above 42degrees (prints) essential for survival	GO:0008233
ABO12661	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00008	Aminotransferase class-III	PF00202.20	PLP dependent aminotransferase superfamily	CL0061	1.5e-08	hypothetical protein A1S_2234 [Acinetobacter baumannii ATCC 17978],hypothetical protein F914_01440 [Acinetobacter baumannii NIPH 290],aminotransferase class-III family protein, partial [Acinetobacter baumannii 29280],aminotransferase class-III family protein, partial [Acinetobacter baumannii 1046051],aminotransferase class-III family protein, partial [Acinetobacter baumannii 942194],aminotransferase class-III family protein, partial [Acinetobacter baumannii 959073],aminotransferase class-III family protein, partial [Acinetobacter baumannii 44327_1],aminotransferase class-III family protein, partial [Acinetobacter baumannii 44467_6],aminotransferase class-III family protein, partial [Acinetobacter baumannii 24860_4],aminotransferase class-III family protein, partial [Acinetobacter baumannii 45052_3]	9e-82,5e-72,4e-65,9e-65,1e-64,1e-64,2e-64,2e-64,2e-64,3e-64	Bacterial sensor protein C-terminal signature	BCTRLSENSOR	aminotransferase	PLP dependent aminotransferase (pfam/blast)	GO:0016740
ABO12660	Aminotransferases class-III pyridoxal-phosphate attachment site	3	PS00600	Aminotransferase class-III	PF00202.20	PLP dependent aminotransferase superfamily	CL0061	2.5e-56	aspartate aminotransferase family protein [Acinetobacter baumannii],aspartate aminotransferase family protein [Acinetobacter baumannii],aspartate aminotransferase family protein [Acinetobacter pittii],aspartate aminotransferase family protein [Acinetobacter baumannii],aspartate aminotransferase family protein [Acinetobacter baumannii],aspartate aminotransferase family protein [Acinetobacter baumannii],aspartate aminotransferase family protein [Acinetobacter baumannii],aspartate aminotransferase family protein [Acinetobacter baumannii],aspartate aminotransferase family protein [Acinetobacter baumannii],aspartate aminotransferase family protein [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Enolase signature,Leucine-rich repeat signature	ENOLASE,LEURICHRPT	aminotransferase	PLP dependednt aminotransferase (pfam blast)	GO:0016740
ABO11961	noresult	2	noresult	MaoC like domain	PF01575.18	HotDog superfamily	CL0050	9.3e-14	dehydratase [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],MaoC family dehydratase [Acinetobacter baumannii],dehydratase [Acinetobacter calcoaceticus],dehydratase [Acinetobacter baumannii],dehydratase [Acinetobacter baumannii],dehydratase [Acinetobacter baumannii],MaoC-like protein [Acinetobacter baumannii],dehydratase [Acinetobacter baumannii],dehydratase [Acinetobacter baumannii]	1e-104,1e-104,2e-104,3e-104,5e-104,5e-104,5e-104,5e-104,5e-104,9e-104	DnaJ domain signature,Bacterial sensor protein C-terminal signature,Ankyrin repeat signature,Flavoprotein pyridine nucleotide cytochrome reductase signature,Cytochrome B5 reductase signature,Prokaryotic DNA topoisomerase I signature,Cytochrome B5 signature,Eukaryotic molybdopterin domain signature,FAD-dependent pyridine nucleotide reductase signature	JDOMAIN,BCTRLSENSOR,ANKYRIN,FPNCR,CYTB5RDTASE,PRTPISMRASEI,CYTOCHROMEB5,EUMOPTERIN,FADPNR	dehydratase	PLP dependent aminotransferase (pfam/blast)	GO:0006508
